name,nickname,gender,age,looks,hobbies,character,talents,export,belongings,affiliation,lineage,title,spells,
Harry,The boy who lived,male,1 year old,"Baby, a lightning -shaped knife injury at the forehead",None,None,None,None,None,None,None,The boy who lived,None,None
James Potter,None,male,Adult,None,None,None,None,None,None,None,Pure blood wizard,None,None,None
Lily Potter,None,Female,Adult,None,None,None,None,None,None,None,Mixed wizard,None,None,None
Petunia,None,Female,Adult,"Slender, blond hair, long neck",None,"Message, gossip",None,None,None,None,Maculogy,None,None,None
Vernon Dursley,None,male,Adult,"Very fat, tall and burly, accumulating beard",None,mean,None,None,car,Grandine Company,Maculogy,Company supervisor,None,None
Dudley,None,male,child,None,None,None,None,None,None,None,Maculogy,None,None,None
Dumbledore,None,male,Age,"He is thin, with very long silver hair and silver beard.Wear half moon -shaped glasses, the nose is very long",None,None,None,None,Lamp,None,Mixed wizard,Hogwau's current president,None,None
McGonagall,None,male,Adult,"A serious look, square lenses,",None,None,None,None,None,None,Pure blood wizard,None,None,None
Snape,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Hagrid,None,male,Adult,"Surprisingly tall, full of beards",None,None,None,None,None,None,None,None,None,None
Ron,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Charlie,None,None,None,None,None,None,None,None,None,None,None,None,None,None
 Dean,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Wood,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Lee Jordan,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Goyle,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Crabbe,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Flint,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Angelina Johnson,None,None,None,None,None,None,None,None,None,None,None,None,None,None
George,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Fred,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Hermione,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Neville,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Malfoy,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voldemort,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Quirrel,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Professor Huo Qi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
 Filch ,None,None,None,None,None,None,None,None,None,None,None,None,None,None
  Sprout ,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Madam Pince,None,None,None,None,None,None,None,None,None,None,None,None,None,None
 Madam Pomfrey ,None,None,None,None,None,None,None,None,None,None,None,None,None,None
  Flitwick ,None,None,None,None,None,None,None,None,None,None,None,None,None,None
