name,friend,classmate,teacher,family,immediate family,lover,opponent,colleague,teammate,enemy,"Harry's affection to him (-10 to 10, 0 is the initial value)","Harry's familiarity with him (0 to 10, 0 is the initial value)","His affection to Harry (0 to 10, 0 is the initial value)","His familiarity with Harry (0 to 10, 0 is the initial value)"
James Potter,0,0,0,1,1,0,0,0,0,0,10,0,10,0
Lily Potter,0,0,0,1,1,0,0,0,0,0,10,0,10,0
Petunia,0,0,0,1,0,0,0,0,0,0,-5,8,-5,6
Vernon Dursley,0,0,0,1,0,0,0,0,0,0,-5,8,-5,6
Dudley,0,0,0,1,0,0,0,0,0,0,-4,8,-4,6
Dumbledore,0,0,1,0,0,0,0,0,0,0,0,0,4,3
McGonagall,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Snape,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagrid,1,0,0,0,0,0,0,0,0,0,5,4,4,6
Ron,1,1,0,0,0,0,0,0,0,0,1,2,4,2
Charlie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goyle,0,1,0,0,0,0,0,0,0,0,-2,2,-1,2
Crabbe,0,1,0,0,0,0,0,0,0,0,-2,2,-1,2
Flint,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,1,1,0,0,0,0,0,0,0,0,1,2,4,2
Fred,1,1,0,0,0,0,0,0,0,0,1,2,4,2
Hermione,0,1,0,0,0,0,0,0,0,0,-1,2,1,2
Neville,1,1,0,0,0,0,0,0,0,0,1,2,4,2
Malfoy,0,1,0,0,0,1,0,0,0,0,-2,2,-2,2
Voldemort,0,0,0,0,0,0,0,0,0,1,-10,2,-10,4
Quirrel,0,0,1,0,0,0,0,0,0,0,1,1,4,2
Professor Huo Qi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Filch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Sprout ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madam Pince,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Madam Pomfrey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Flitwick ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
